2022/12/03 23:17:42 Micro started
2022/12/03 23:17:56 client.c client.c
2022/12/03 23:17:56 client.c client.c
2022/12/03 23:17:56 client.c client.c
2022/12/03 23:17:56 client.c client.c
2022/12/03 23:17:58 client.c client.c
2022/12/03 23:17:58 client.c client.c
2022/12/03 23:17:58 client.c client.c
2022/12/03 23:17:58 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:05 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:10 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:13 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:14 client.c client.c
2022/12/03 23:18:15 client.c client.c
2022/12/03 23:18:15 client.c client.c
2022/12/03 23:18:15 client.c client.c
2022/12/03 23:18:15 client.c client.c
